user_id,nome,email,cpf,idade,genero,estado_civil,estado,renda_mensal,canal_preferido,frequencia_compras_ult_12m,ticket_medio,dias_desde_ultima_compra,tem_cartao_fidelidade,score_engajamento,comprou_ult_3m
U001,Ana Araujo,anaarauj1@example.org,332.181.960-00,23,F,solteiro,DF,2628.03,site,7,365.53,182,False,0.33,0
U002,Sofia Santos,sofiasan2@example.net,863.794.026-91,68,M,divorciado,BA,6081.21,site,8,309.53,154,True,0.22,0
U003,Sr. Diego Souza,srdiegos3@example.org,155.940.781-69,57,M,solteiro,PI,3015.93,whatsapp,10,341.47,125,True,0.69,0
U004,Sr. Thiago Santos,srthiago4@example.net,103.413.164-82,46,M,divorciado,CE,4004.74,whatsapp,8,218.15,83,False,0.74,0
U005,Sr. Gustavo Barbosa,srgustav5@example.org,192.832.764-85,66,Outro,casado,RO,4756.37,whatsapp,7,214.19,24,True,0.47,1
U006,Helena Rocha,helenaro6@example.com,564.139.537-48,46,M,viúvo,BA,4322.73,whatsapp,4,140.33,151,True,0.12,1
U007,Dr. Helena Araujo,,849.696.532-59,62,Outro,viúvo,AP,4130.21,app,4,288.53,72,True,0.18,0
U008,Eva Barbosa,evabarbo8@example.com,691.669.784-91,25,Outro,solteiro,RO,4069.16,app,2,423.1,186,False,0.65,1
U009,Sr. Yasmin Rodrigues,sryasmin9@example.com,462.704.828-95,74,F,divorciado,TO,2021.96,site,5,499.61,353,False,0.82,0
U010,Dr. Lívia Martins,drlviama10@example.com,880.957.015-48,49,M,casado,AL,3398.23,site,3,135.72,13,False,0.26,1
U011,Carla Araujo,carlaara11@example.org,182.278.248-11,36,Outro,viúvo,DF,3601.27,site,3,161.43,187,True,0.18,0
U012,Sr. Marcos Barbosa,srmarcos12@example.net,578.713.315-31,74,F,casado,RJ,5302.93,site,8,286.33,87,False,0.37,1
U013,Carla Araujo,carlaara13@example.net,031.051.834-26,72,Outro,viúvo,DF,7471.67,site,5,152.63,171,True,0.33,0
U014,Sra. Helena Martins,srahelen14@example.org,631.165.667-12,33,Outro,solteiro,RO,5659.09,app,7,263.68,81,True,0.26,0
U015,Marcos Araujo,marcosar15@example.org,133.387.262-36,72,M,viúvo,ES,4097.05,app,4,562.1,270,False,0.46,0
U016,Sra. Sofia Souza,srasofia16@example.com,801.326.773-34,55,M,solteiro,CE,3187.65,email,8,248.69,20,True,0.27,1
U017,Marcos Pereira,marcospe17@example.org,468.723.430-52,72,Outro,solteiro,SC,2391.18,whatsapp,6,214.86,109,True,0.17,0
U018,Bruno Gomes,brunogom18@example.org,882.081.219-32,42,F,casado,MG,6322.89,app,5,248.33,287,False,0.74,0
U019,Dr. Thiago Gomes,drthiago19@example.com,916.998.543-00,68,Outro,divorciado,ES,6644.06,whatsapp,7,266.3,96,True,0.34,0
